Powerhouse/Unit:,LO-84,LO-91,LO-93,LO-39,LO-21,LO-64,LO-28,LO-44,LO-72,LO-59,LO-71,ZR-71,QW-97,TT-67,JC-43,LI-67,TT-63,QW-82,QW-13,QW-10,JC-52,QW-56,HJ-30,QW-91,HJ-80,QW-94,QW-15,QW-76,QW-05,JC-99,QW-92,QW-54
Field Name:,HT_GB_SH_NA_NA_NA_90_VM_HO-4vrkf,HT_GB_SH_NA_NA_NA_90_VM_HO-5mJuR,HT_GB_SH_NA_NA_NA_90_VM_HO-5sR7R,HT_GB_SH_NA_NA_NA_90_VM_HO-AoYd5,HT_GB_SH_NA_NA_NA_90_VM_HO-D8sJi,HT_GB_SH_NA_NA_NA_90_VM_HO-HIIAW,HT_GB_SH_NA_NA_NA_90_VM_HO-k2QXo,HT_GB_SH_NA_NA_NA_90_VM_HO-ksXGv,HT_GB_SH_NA_NA_NA_90_VM_HO-nOtnK,HT_GB_SH_NA_NA_NA_90_VM_HO-tycIY,HT_GB_SH_NA_NA_NA_90_VM_HO-yhjXd,HT_GB_SH_NA_NA_NA_DNA_VM_AX-alU4A,HT_GB_SH_NA_NA_NA_DNA_VM_HO-47caF,HT_GB_SH_NA_NA_NA_DNA_VM_HO-7nvE0,HT_GB_SH_NA_NA_NA_DNA_VM_HO-7xJRW,HT_GB_SH_NA_NA_NA_DNA_VM_HO-93Oix,HT_GB_SH_NA_NA_NA_DNA_VM_HO-AB4Kn,HT_GB_SH_NA_NA_NA_DNA_VM_HO-aD3l6,HT_GB_SH_NA_NA_NA_DNA_VM_HO-awezq,HT_GB_SH_NA_NA_NA_DNA_VM_HO-DuTvZ,HT_GB_SH_NA_NA_NA_DNA_VM_HO-DzxzI,HT_GB_SH_NA_NA_NA_DNA_VM_HO-HvcMW,HT_GB_SH_NA_NA_NA_DNA_VM_HO-iPtaz,HT_GB_SH_NA_NA_NA_DNA_VM_HO-jT2bm,HT_GB_SH_NA_NA_NA_DNA_VM_HO-nqPzD,HT_GB_SH_NA_NA_NA_DNA_VM_HO-QOolI,HT_GB_SH_NA_NA_NA_DNA_VM_HO-qVZ6H,HT_GB_SH_NA_NA_NA_DNA_VM_HO-rDM3R,HT_GB_SH_NA_NA_NA_DNA_VM_HO-rnKdB,HT_GB_SH_NA_NA_NA_DNA_VM_HO-Xq8AD,HT_GB_SH_NA_NA_NA_DNA_VM_HO-XRCzY,HT_GB_SH_NA_NA_NA_DNA_VM_HO-ZCyNY
2022-10-07 00:00:00+00:00,0,0,0,4.086114835,0,0,0,0,2.555838272,3.796016072,0,-0.041,0,0.202652792,8.548594975,0.027174192,7.577083333,0.049503266,3.079823584,1.786470305,0.153914734,2.193110739,4.330786743,0.107280995,0,1.709785744,2.817331784,2.609767576,3.589735648,7.683360681,0.043499417,1.992259565
2022-10-08 00:00:00+00:00,0,0,0,3.498334134,0,0,0,0,2.641048871,3.473061868,0,-0.041041667,0,0.20060175,8.242722016,0.026382296,7.747154472,0.758005489,2.273756272,1.799871765,3.471975515,1.916918962,4.345689736,2.347967682,0,0.271413885,2.190623162,2.381109658,1.18289328,7.486503677,1.685903709,0.069444008
2022-10-09 00:00:00+00:00,0,0,0,3.997154561,0,0,0,0,2.720981643,3.481167692,0,-0.041375,0,0.204450792,8.892786542,0.02638148,7.418120805,1.174464941,2.282303263,1.725185048,3.661043925,2.591162089,4.329960013,1.279760931,0,2.347897733,2.626189248,2.698828843,1.932818877,7.769709774,2.221657917,2.379330043
2022-10-10 00:00:00+00:00,0,0,0,4.175780787,0,0,0,0,2.783548545,4.389061778,0,-0.040625,0,0.205049375,8.571209295,0.026552888,7.568273092,1.233400045,2.559249786,1.727260494,3.665536184,1.917980102,4.446107462,2.24117629,0,0.035788527,2.332635949,2.091272283,2.38296666,8.01271083,2.046609814,0.038346809
2022-10-11 00:00:00+00:00,0,0,0,5.090673769,0,0,0,0,2.751051947,4.70787444,0,-0.040666667,0,0.206095,8.575041405,0.067431841,7.744097222,1.516494531,3.494835825,0.596848855,3.607765907,1.924118815,4.371951416,2.2630992,0,0.044688929,2.954987464,2.485230526,3.368166198,7.820060785,1.810279063,0.054468234
2022-10-12 00:00:00+00:00,0,0,0,4.163044638,0,0,0,0,2.68040206,3.816687429,0,-0.041,0,0.201956917,8.480110758,0.058381226,7.480398671,1.202025892,3.699202506,2.278412284,3.69947754,2.351734479,4.393247089,2.42756005,0,0.095599297,2.455985162,2.808218005,1.511639746,7.606231057,2.175166419,1.756936453
2022-10-13 00:00:00+00:00,0,0,0,4.253928193,0,0,0,0,2.702269649,3.328512821,0,-0.041,0,0.206331417,7.821534626,0.088966404,7.529938272,0.746430314,3.772687668,3.044653095,3.802915631,2.003761074,4.344956386,2.533457292,0,0.189816769,2.732260444,2.988553087,3.719476624,7.213882883,2.459602214,1.588443182
2022-10-14 00:00:00+00:00,0,0,0,3.107018804,0,0,0,0,2.821955454,3.414924248,0,-0.041,0,0.206589708,8.411789856,0.026558062,7.952631579,0.70775934,2.866653624,2.516459753,3.541114626,1.151745982,4.416639962,1.856690809,0,0.112903702,3.083950218,2.661821078,1.559931906,7.463416876,1.737996219,0.797445622
2022-10-15 00:00:00+00:00,0,0,0,3.78617589,0,0,0,0,0.050000001,3.412073828,0,-0.039541667,0,0.207001,8.278513009,0.026358671,7.787142857,1.629358392,2.527547491,2.40223071,5.159879479,2.041844158,4.48673834,1.553347605,0,0.064348934,3.043947365,2.933204957,2.015748779,0.043233895,2.016579776,2.053618286
2022-10-16 00:00:00+00:00,0,0,0,4.053904908,0,0,0,0,0.040000001,4.256858992,0,-0.037583333,0,0.204515083,8.417353001,0.0266177,7.674915254,0.770728776,2.491231631,3.318604112,3.600323109,1.064642923,4.420163669,1.476365806,0,0.04598806,2.174075639,1.836467743,1.032884321,0.041326518,2.227184815,2.28953418
2022-10-17 00:00:00+00:00,0,0,0,4.132858305,0,0,0,0,2.920579171,3.463572908,0,-0.03792,0,0.206970833,8.296222794,0.026730633,7.706993007,1.230798188,2.801392684,3.187738936,0.135652542,2.133198007,4.423472917,1.915152827,0,0.050530443,3.130314649,2.757305653,1.460559186,7.532438205,1.545202903,2.205224876
2022-10-18 00:00:00+00:00,0,0,0,3.869343711,0,0,0,0,2.52454521,3.649571543,0,-0.037541667,0,0.197520917,8.184975797,0.026494742,7.634502924,1.146774772,3.969194317,2.934103612,0.139202118,2.434714351,4.523481544,2.530228021,0,0.047169147,3.083159314,2.315019613,2.152510806,7.235542065,2.070794098,1.382707754
2022-10-19 00:00:00+00:00,0,0,0,4.322834858,0,0,0,0,2.843025265,3.945413492,0,-0.033458333,0,0.211186708,8.371442038,0.041110859,7.752159468,0.749656449,2.394139304,2.463704511,3.407334305,1.812692001,4.425885808,2.370304255,0,0.039814538,3.097380792,2.13661021,3.169644143,7.283062138,1.11435474,0.05291729
2022-10-20 00:00:00+00:00,0,0,0,4.238135832,0,0,0,0,2.588560834,3.112365526,0,-0.0295,0,0.2030855,8.504334461,0.052756779,8.044299674,0.925049895,3.885769832,2.437125054,3.621571711,2.134009226,4.551584985,1.56720387,0,0.047060311,2.184097098,1.547135572,3.211474978,7.706180771,2.007138135,1.63556903
