The use of this data is subject to the terms and conditions of agreement with the HRI and cannot be shared with non-HRI customers without prior written permission.
HT_Vibration_Daily (2000/01/01 12:00:00 AM UTC+0000 - 2023/07/29 11:59:59 PM UTC+0000)
Request No.,1402
Shijia Zhao,Department of Energy
Requested:,2023/07/29 08:22:07 PM UTC+0000
Columns:,6,Averaging Period:,1 Day(s),Interpolation:,None,Out of Range Data Excluded:,False

Unit:,Mils,Mils,Mils,Mils,Mils,Mils
Site:,90716,90716,95152,95152,90716,90716
Powerhouse/Unit:,KI-45,KI-99,PW-68,PW-68,KI-99,KI-45
Generator Profiles:,,,,,,
Governor Profiles:,,,,,,
Hydraulic Turbine Profiles:,HT6617,HT5705,HT9409 (1997/01/01:2015/02/10) HT2532 (2020/01/23:present),HT9409 (1997/01/01:2015/02/10) HT2532 (2020/01/23:present),HT5705,HT6617
Tag Name:,,,,,,
Field Name:,HT_NA_NA_NA_NA_NA_DNA_VM_HO-185Vh,HT_NA_NA_NA_NA_NA_DNA_VM_HO-4o9bX,HT_NA_NA_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_NA_NA_DNA_VM_HO-BjARE,HT_NA_NA_NA_NA_NA_DNA_VM_HO-c2rB2,HT_NA_NA_NA_NA_NA_DNA_VM_HO-IAZ32
2011-07-13 00:00:00+00:00,7.247941575044021,0.12933333526055002,6.172392391491636,9.663005761981793,0.22423253359746326,11.712674637278637
2011-07-14 00:00:00+00:00,7.239387298308525,0.13725490410343477,6.469920076689748,9.843617339682643,0.23375451909075565,11.720527665849492
2011-07-15 00:00:00+00:00,16.332349524561657,0.1416562129013061,6.617366551925785,9.903632623068292,0.2489323917299084,25.27984682545937
2011-07-16 00:00:00+00:00,16.24215881968421,0.1373333353797593,6.649313430972102,9.813984152768038,0.21472340978840548,23.64776676712793
2011-07-17 00:00:00+00:00,11.277897273625381,0.05037037112094731,6.599163091243033,9.85394677237349,0.14018987550671325,14.188537441990011
2011-07-18 00:00:00+00:00,6.89957355385396,0.03814433046530198,6.650411846919421,9.795005956791172,0.06049822154206306,11.85480770526024
2011-07-19 00:00:00+00:00,13.83183907804818,0.044919786765613604,6.514477878083761,10.061230862686273,0.09827288574762695,17.025769867940827
2011-07-20 00:00:00+00:00,7.257509159954476,0.0423611117423408,6.4513698445713,10.012498534272689,0.04486301436714108,11.936868319159807
2011-07-21 00:00:00+00:00,12.413541679297257,0.044915254856077454,6.99420976040563,9.887859516959713,0.055102041607005894,16.062831231174485
2011-07-22 00:00:00+00:00,7.188000000000227,0.020833333333409167,7.678490625492358,10.0635815656951,0.025000000000091,11.848888888889071
2011-07-23 00:00:00+00:00,16.04618768328466,0.025000000000091,6.991074544012688,10.166971508969398,0.02916666666675388,25.715885416666875
2011-07-24 00:00:00+00:00,15.836193029490813,0.0200000000000728,6.9502859848484855,10.09597332871493,0.025000000000091,25.101864801865002
2011-07-25 00:00:00+00:00,16.26716666666687,0.025000000000091,7.2029103053435115,10.313632493792126,0.03333333333341675,25.745560407569343
2011-07-26 00:00:00+00:00,6.934615384615582,0.025000000000091,6.966760511882998,10.183916349809886,0.029166666666772836,11.538297872340651
2011-07-27 00:00:00+00:00,7.057692307692481,0.03600000000011284,6.826415937441817,10.047068642479985,0.050000000000111997,11.764583333333539
2011-07-28 00:00:00+00:00,7.046153846154047,0.029166666666772836,7.046659762756542,10.280875174337517,0.0600000000001456,11.801886792452999
