GN_GB_ND_SH_DNA_VM_HO-1hbtR,GN_GB_ND_SH_DNA_VM_HO-34IaB,GN_GB_ND_SH_DNA_VM_HO-7IkeA,GN_GB_ND_SH_DNA_VM_HO-9W9pq,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,GN_GB_ND_SH_DNA_VM_HO-eAB8c,GN_GB_ND_SH_DNA_VM_HO-EAskK,GN_GB_ND_SH_DNA_VM_HO-eY9y0,GN_GB_ND_SH_DNA_VM_HO-fl8X9,GN_GB_ND_SH_DNA_VM_HO-idzZd,GN_GB_ND_SH_DNA_VM_HO-ieC5u,GN_GB_ND_SH_DNA_VM_HO-IMqGo,GN_GB_ND_SH_DNA_VM_HO-j6Sse,GN_GB_ND_SH_DNA_VM_HO-LOXXL,GN_GB_ND_SH_DNA_VM_HO-OnqTn,GN_GB_ND_SH_DNA_VM_HO-qRVHP,GN_GB_ND_SH_DNA_VM_HO-RMRJ9,GN_GB_ND_SH_DNA_VM_HO-xAeWp,GN_GB_ND_SH_DNA_VM_HO-XnieG,GN_GB_ND_SH_DNA_VM_HO-ybTm8,GN_GB_ND_SH_DNA_VM_VE-2VJKp,GN_GB_ND_SH_DNA_VM_VE-32QOv,GN_GB_ND_SH_DNA_VM_VE-76HfD,GN_GB_ND_SH_DNA_VM_VE-DI4Wa,GN_GB_ND_SH_DNA_VM_VE-fn2xX,GN_GB_ND_SH_DNA_VM_VE-htsBX,GN_GB_ND_SH_DNA_VM_VE-kxcsh,GN_GB_ND_SH_DNA_VM_VE-lHB6Q,GN_GB_ND_SH_DNA_VM_VE-LrC1E,GN_GB_ND_SH_DNA_VM_VE-SrDKP,GN_GB_ND_SH_DNA_VM_VE-tVcYY,GN_GB_ND_SH_DNA_VM_VE-u5yO7,GN_GB_ND_SH_DNA_VM_VE-U7ecJ
2.799027763,,2.6857833,,7.48757764,7.1771261,10.56170093,3.795457424,4.884001509,2.40202652,,9.3471721,2.272567845,2.017727273,15.60477692,6.115852375,19.56773343,8.32019775,2.441277373,,2.484239948,1.911807508,4.950009604,,6.892226367,,2.094682868,3.02620875,10.17990716,,9.585095833,1.286661266,1.56,2.746155714
1.742948824,,2.264020814,,7.958412698,7.600911854,4.819615706,6.093412729,5.372563271,2.323168312,,3.040573,9.18257595,2.022727273,11.85599249,6.429911679,12.14181433,7.4026092,2.299525818,,1.615371109,1.656222881,5.524300833,,7.49808922,,2.446205842,3.894305967,4.079776773,,2.646302533,2.524336492,1.617619048,3.317122917
1.696922036,,2.568972167,,7.555414013,7.147005988,6.899078316,7.040091683,5.998161439,2.281179287,,11.13776557,2.5889696,1.948461538,16.83206068,4.128145114,13.11858133,1.573219104,2.176497312,,2.760775067,1.946807643,7.2571298,,1.288378464,,4.042121908,1.79782268,6.374246383,,11.87171705,1.508452292,1.691666667,2.112036237
1.6825036,,2.908667123,,8.226498423,7.88253012,5.752366418,8.3348501,1.587291566,2.275031742,,2.515301045,7.295304767,1.94173913,11.24347539,7.905048683,14.59929273,7.202759883,2.058814807,,1.825293862,2.597140912,11.50792383,,5.403979333,,3.438359133,2.432036459,5.279214875,,2.387009476,5.28359915,1.55,2.091208536
2.9643409,,3.847214695,,5.468441065,5.790566038,8.568233544,8.690672533,8.177072917,2.277538557,,1.834739717,8.177093783,2.096666667,17.86570786,2.250568304,19.98288533,5.912672043,2.08156637,,4.661780017,2.744825857,14.32830917,,5.839396335,,3.817534733,4.663968091,8.052839012,,2.099338749,1.743361504,1.571538462,2.233942717
3.891797614,,4.875267317,,8.180448718,7.709580838,10.27147549,7.88213705,8.00025395,2.323308182,,4.113222483,5.012606229,1.604285714,19.64364223,6.539504204,12.8183341,10.21415612,2.198780602,,1.865903431,3.09880117,8.071231517,,7.1472059,,2.781127041,4.073021438,9.600068071,,3.777746767,1.602949471,1.83125,3.003077862
2.995409733,,4.344741817,,8.173267327,7.646646341,,8.395658466,5.597455582,2.296637152,,3.991876633,4.151679984,1.76,19.71730745,5.424237119,21.1196991,5.375855983,2.111258805,,1.827459571,3.187694735,11.39229337,,3.069399183,,3.682906296,2.795437055,,,3.742445417,2.917075633,1.993703704,4.029816172
3.679550633,,2.147830271,,7.7,7.6,,9.35675055,6.682826901,2.272332336,,3.97914478,8.400635758,1.930555556,11.23349784,8.063364633,15.19963571,11.49613036,2.037580558,,2.859503373,1.821759292,14.475857,,7.962781034,,1.954950065,2.627114891,,,3.695594898,5.078006317,1.645833333,3.315135051
6.753464115,,2.439002003,,7.891304348,7.509848485,,10.87097813,4.143078056,2.246881662,,3.9180366,7.427722935,2.0775,10.60205417,5.971259241,14.37355623,10.63928143,1.999725194,,4.266645433,1.574011882,15.615798,,7.031711417,,1.997170246,3.49885275,,,3.623632233,6.371464183,2.191129032,2.003003433
2.144434571,,4.03963775,,7.992822967,7.359322034,,8.272193383,4.094868585,2.259012144,,4.233452617,4.745601421,1.845555556,20.85656453,8.861064783,16.12170058,7.22274875,1.980540299,,5.309509683,2.668684417,9.21143395,,4.69526195,,2.488777097,,,,4.109687133,7.018922517,2.457708333,6.996409123
1.612091397,,2.61764525,,8.18685446,7.325,,5.906239833,4.466490417,2.252857835,,9.083238965,5.038102953,2.088333333,19.6917,6.538919,20.71827576,3.27622673,1.994132874,,6.665124017,2.23266895,4.17206085,,2.291284998,,2.337284815,,,,8.004658158,1.311048208,2.60443609,1.409140183
1.4989318,,2.998833367,,8.296153846,6.734509804,,5.401809823,4.710716831,2.278691285,,6.811661067,6.389865016,1.976666667,17.75215184,10.055668,19.75146657,6.228792985,2.026910496,,1.534348982,3.53774845,5.384305358,,4.960299138,,2.085873847,,,,7.05642275,7.547351176,2.734567901,1.998163528
2.827753733,,3.099541953,,5.080487805,5.488,,6.304129383,4.366636014,2.197081584,,4.031109367,,1.204444444,20.51017568,6.802227286,14.90803501,8.331602931,1.862510518,,7.002733306,,4.965137933,,6.818909375,,2.16944499,,,,3.9267147,1.857496364,2.393898305,1.304752879
4.551860648,,1.68257822,,4.890909091,5.515384615,,5.062671318,4.224185483,2.310639441,,3.584979,,2.283333333,12.1971788,8.689650567,14.36016029,10.67145978,1.908372471,,1.836083981,,3.264297256,,8.509862493,,2.612662123,,,,3.904494732,2.487022128,2.19972973,2.08152155
1.780311822,,3.100952725,,5.149593496,6.002272727,,4.062829003,5.437451953,2.265371292,,9.312183882,,2.003,20.61989941,8.516516867,14.48394278,9.276437775,1.823588523,,2.207828901,,2.762512889,,8.05386173,,1.797365036,,,,9.956693342,1.426361796,2.4684,2.12224044
3.9344991,,1.963476298,,5.078346457,5.709689922,,6.60671282,4.014035037,2.211266068,,4.079039562,,1.548888889,19.70532254,6.75795505,12.74901072,,1.842471661,,1.421087926,,5.482648541,,,,1.814255173,,,,3.689583319,1.83744093,2.608142857,1.00138466
2.198301633,,2.360000217,,4.933067729,6.048698885,,6.643414833,3.994006069,2.286501544,,2.778111353,,1.79625,11.35266842,1.415112338,20.10495093,,1.930165093,,2.08508078,,5.916369466,,,,1.685077778,,,,2.526257088,1.481093875,4.016979167,1.804859153
2.184018533,,2.953537573,,4.958333333,6.787068966,,4.60254471,8.77097772,2.2906644,,4.395884333,,1.825882353,10.99198013,7.293562431,12.99277135,,1.942815299,,1.580588463,,3.477345294,,,,4.242021309,,,,4.318360203,1.749659702,2.631165049,1.42175095
3.4138725,,1.66732744,,5.261623616,7.084090909,,6.900525281,,2.254270785,,3.483857892,,1.67,10.90768936,6.818087893,14.61577159,,1.916740638,,2.181466732,,5.209339671,,,,,,,,3.406015931,2.015671567,2.947,3.250263355
3.664685333,,5.082569653,,7.697359736,8.250909091,,7.712074927,,2.220151501,,5.967319443,,1.572142857,19.06024039,7.038627929,21.00041,,1.847298687,,1.875878679,,8.962955833,,,,,,,,5.709762143,1.953907152,2.719466667,1.763945283
3.157173018,,1.823009373,,7.572727273,5.42674772,,6.34216135,,2.283235672,,,,1.833461538,19.36038761,6.865090293,21.14844787,,1.862780526,,2.677464735,,5.2461344,,,,,,,,,1.078199134,1.95,2.5791247
1.024668586,,3.593822214,,5.111578947,5.996949153,,6.044852559,,2.305736243,,,,1.874285714,17.02850222,6.962109946,21.60099146,,1.973544247,,1.494571978,,5.244883657,,,,,,,,,,1.86,4.3032798
4.61455014,,2.350865672,,8.260124611,8.018181818,,4.001565956,,2.302396984,,,,1.756315789,10.22003451,7.207233717,16.90161794,,2.006008367,,,,4.40327908,,,,,,,,,,1.83,1.216689797
1.06559525,,7.322917367,,7.775641026,7.379566563,,6.590760903,,2.236626428,,,,2.113333333,18.19236633,7.572625881,16.73864244,,1.905177945,,,,5.389155984,,,,,,,,,,2.111818182,2.093865088
2.952610558,,2.157001932,,7.880188679,7.127329193,,8.312862918,,2.218365019,,,,1.650769231,10.05176943,7.958156421,17.75382697,,1.927230811,,,,10.82505611,,,,,,,,,,1.930714286,1.378528893
3.380723348,,1.634508153,,8.413880126,8.060869565,,7.714292787,,2.35557704,,,,1.7425,9.535325556,6.318148878,22.20370236,,1.95636647,,,,8.501376213,,,,,,,,,,2.2,2.235102395
1.255517186,,6.024111867,,8.141275168,8.240255591,,7.586984458,,2.438217726,,,,1.823636364,8.988853075,8.40111665,19.01505785,,1.923743836,,,,11.39923092,,,,,,,,,,2.18,2.679048837
