HT_GB_SH_NA_DNA_VM_HO-7nvE0,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-uL9YZ,HT_GB_SH_NA_DNA_VM_HO-zbqiU,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr,HT_GB_SH_NA_DNA_VM_HO-93Oix
12.97142857,4.777499914,6.257265653,13.7,6.746757657,7.357877814,7.465875371,4.639461889
10,10.57292677,6.947047964,13.6,6.667118629,7.352681388,7.125382263,4.407758616
13.1,5.769999981,7.363003638,13.6,8.904845822,6.951768489,6.496996997,4.065217398
12.27058824,4.849999905,7.274962125,13.7,8.336087005,7.288271605,6.834821429,4.609607008
12.28888889,6.799960598,6.834130467,13.9,8.158695689,7.067405063,6.749249249,4.46008774
12.74871795,4.830000083,6.555593898,13.7,7.393886447,7.292789969,7.004464286,4.383620681
10.1,4.775000095,6.774044955,13.7,8.412558148,7.348447205,7.159813084,4.299126642
10.2,4.800000191,6.683867207,13.7,9.212946406,7.371803279,7.132743363,4.233771937
10.2,4.795000076,6.162040853,13.7,8.075217471,7.319871795,7.06941896,4.392274692
10.2,4.571428571,6.238072324,13.8,7.05786158,7.240062112,7.040243902,4.148017632
10.3,6.568451871,6.178543339,13.7,7.63552623,7.723343849,7.868975904,4.270925105
10.2,7.112140043,6.164367111,13.6,7.166382976,7.515064103,7.611607143,4.267826073
9.9,7.545634341,4.800000191,13.7,6.582403422,7.622429907,7.754545455,4.268558945
10,7.550888047,4.71999979,13.5,6.524680825,7.833018868,8.108284024,4.049122807
10.2,7.282176864,6.259066683,13.7,6.264529888,7.781269841,8.132326284,4.14826086
10.1,7.202692295,4.630000114,13.7,6.12692308,7.362295082,7.543026706,4.22422907
10.3,7.233539805,4.565000057,13.9,6.290086202,7.49054878,7.275975976,4.586086976
10.3,7.134260058,6.10255063,13.9,6.312608682,6.741233766,6.7528125,5.202688181
10.1,6.800257497,7.059945622,14,6.187124467,7.906796117,7.943072289,5.594067814
10,6.789799156,6.936904746,14,5.491914895,8.091772152,8.014749263,5.70772532
10,6.865737018,6.59237866,14.1,5.736521746,7.926349206,7.780758017,5.533047214
10.1,6.892484449,6.33887895,13.9,5.880000001,7.855031447,7.737091988,5.885653993
10.2,4.900000095,6.091300834,13.8,5.60881058,7.513580247,7.138416422,6.11484716
10.3,4.96999979,6.327639506,14,5.561802584,7.758974359,7.282492582,6.071120694
10.2,6.707469883,6.316507968,13.9,5.768260885,7.42483871,7.055325444,6.220982145
12.67846154,4.810000102,6.05390247,13.9,5.440517247,7.538601824,7.085630499,6.6577586
10,4.860000134,6.042182772,15.05231788,5.119230786,7.6284375,7.569879518,6.752340408
12.53846154,6.824439966,8.394000053,13.9,5.201293117,7.809615385,7.695014663,7.014102561
12.65,7.677213161,4.949999809,14.53012821,5.318421067,7.819230769,7.601515152,7.055042026
