HT5705_HT_NA_NA_NA_DNA_VM_HO-4o9bX,HT5705_HT_NA_NA_NA_DNA_VM_HO-c2rB2,HT6617_HT_NA_NA_NA_DNA_VM_HO-185Vh,HT6617_HT_NA_NA_NA_DNA_VM_HO-IAZ32,HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE
11.30000019,11.89999962,9.199999809,12.60000038,3.0,2.425000072
11.30000019,11.89999962,9.199999809,12.60000038,3.089999914,2.475000024
11.30000019,11.89999962,9.199999809,12.60000038,3.089999914,2.460000038
11.30000019,11.89999962,9.199999809,12.60000038,3.140000105,2.420000076
11.30000019,11.89999962,9.199999809,12.60000038,3.170000076,2.476666689
11.30000019,11.89999962,9.199999809,12.60000038,6.45450002,5.673888908
11.30000019,11.89999962,9.199999809,12.60000038,3.099999905,2.529999971
11.30000019,11.89999962,9.199999809,12.60000038,5.657521348,4.336074791
11.30000019,11.89999962,9.199999809,12.60000038,3.160000086,2.450000048
11.30000019,11.89999962,9.199999809,12.60000038,3.039999962,2.369999886
11.30000019,11.89999962,9.199999809,12.60000038,3.059999943,2.400000095
11.30000019,11.89999962,9.258181849,12.60000038,3.170000076,2.514999986
11.30000019,11.89999962,8.923809279,13.2517544,5.421601723,4.219668063
11.30000019,11.89999962,9.053731534,12.44712625,3.039999962,2.420000076
11.30000019,11.89999962,10.10000038,12.50247935,5.589128637,4.329047646
11.30000019,10.94999981,19.76187507,13.24320986,5.525316415,4.23070066
9.747058822,10.95326069,10.74809161,14.2510204,5.366048353,4.099356222
9.944317969,10.89772714,10.4983471,14.23061225,3.160000086,2.460000038
9.857831346,11.05750022,9.749541283,13.44634128,3.149999976,2.319999933
10.50277779,12.05384636,10.50353984,14.39749988,5.300933308,4.169160014
13.2520548,11.74599998,10.1500001,13.75099999,3.079999924,2.450000048
13.22666668,11.45952366,9.640000153,13.13000011,3.059999943,2.380000114
12.2472222,9.449999809,10.49473682,13.99268291,3.140000105,2.436666727
11.40945953,9.123913184,10.25918369,13.44555536,3.089999914,2.420000076
10.49380534,7.599999905,9.08378382,13.00869569,3.099999905,2.380000114
7.300000032,7.254054057,9.055555767,12.24893616,3.039999962,2.415000081
6.800000191,7.23783783,9.953124836,13.43653827,3.019999981,2.369999886
7.744444423,9.899999875,9.944659983,13.05151535,3.039999962,2.480000019
11.37964607,9.260000038,9.802272797,12.7734694,3.099999905,2.415000021
10.01136368,8.952272545,9.399999936,11.90454549,3.039999962,2.400000095
9.542400116,9.548148332,10.34713115,12.84567311,3.039999962,2.319999993
11.24782607,9.349999905,8.916666508,11.44456501,3.099999905,2.329999924
11.35106375,9.213888897,8.742465725,11.24526314,7.121351384,6.072631641
10.64166668,9.230666669,8.555555767,11.0008547,3.130000114,2.436666727
10.48400005,8.442856959,8.899999619,11.45166648,9.917045407,9.116000042
9.550000127,8.443478045,6.5,8.054117854,3.039999962,2.389999986
9.246052617,8.050000191,6.280000019,8.048750186,3.130000114,2.400000095
9.551428759,9.746491223,5.74749999,7.400000095,3.019999981,2.415000081
11.81714279,9.236000023,5.549999952,6.950000048,2.970000029,2.319999933
11.48538454,9.951388717,5.660000006,6.962500006,3.00999999,2.314999938
12.4760416,20.77656251,5.349999984,6.449999988,5.807490209,4.368664126
15.41764701,14.44705879,3.84444446,5.199999928,3.019999981,2.299999952
16.70760867,10.04380968,3.666666667,4.757142884,3.079999924,2.40999999
13.56752147,10.03035726,3.516666675,4.355000019,3.079999924,2.369999886
13.64390255,10.54222238,3.341666679,4.25,3.089999914,2.329999924
12.76385539,10.76571426,3.333333333,4.0,3.079999924,2.349999984
13.73157895,10.74285713,3.796491238,4.779999987,3.140000105,2.319999933
12.83417716,10.73902437,3.300000005,3.503448297,5.917838998,4.373102042
13.08400013,10.55909109,2.833333333,2.855172437,3.034999967,2.319999933
12.50857145,10.74722221,5.0,6.574074074,3.140000105,2.314999938
12.61685397,10.94819262,3.354545485,4.25,3.039999962,2.274999976
13.17093024,10.79999999,3.0,2.941176499,3.140000105,2.299999952
12.51946904,10.44629609,3.0,2.362500042,3.089999914,2.289999962
11.5,10.32692304,2.645454515,2.148275836,3.130000114,2.25999999
12.8522387,10.27619046,2.356521772,3.654054036,3.0,2.25
12.86435641,10.24897959,2.3469136,4.199999809,3.160000086,2.319999933
12.57327594,10.39999962,2.267105234,4.244444423,6.098498041,4.391230158
12.77575754,13.29696987,2.133333286,4.241176437,6.217539282,4.763917526
19.08979583,11.15846164,2.012048186,4.228571398,3.00999999,2.345000029
12.90434782,11.23703702,2.362500042,3.880000019,3.019999981,2.274999976
12.5104348,10.4981132,2.651764682,3.853968283,3.059999943,2.299000001
26.55166666,10.7431818,2.173333327,3.84912283,3.130000114,2.340000033
11.06403527,11.05315335,2.348888906,2.361111151,3.00999999,2.314000034
11.27358486,10.05573789,2.348387118,3.0,3.13500011,2.390000105
11.54247801,10.90196075,2.307575768,3.35126053,3.059999943,2.319999933
10.5282259,11.25151516,2.148484822,3.652127644,3.160000086,2.274999976
11.31538461,10.72222219,2.146296267,4.737499952,3.160000086,2.203333378
11.45480754,10.75000001,3.63823526,2.863414677,3.0,2.210000038
10.81764706,10.92758603,2.351162816,3.144117615,3.059999943,2.212500036
10.74536082,10.96228057,2.649999976,3.138461498,3.140000105,2.130000114
10.55666685,10.65238105,3.3495868,3.344186062,3.089999914,2.180000067
10.51755731,10.43999994,2.347619068,3.353164585,3.099999905,2.109999895
10.54406774,9.923684032,2.655172397,2.355555587,3.099999905,2.226666689
10.64600008,9.521929908,2.91203705,2.827272751,3.099999905,2.246153831
10.57064233,9.534482879,2.736734682,2.655434767,3.079999924,2.289999962
