Powerhouse/Unit:,LO-39,JC-99,LO-93,LO-64,QW-13,LO-71,LO-72,LO-28,LO-84,TT-63,TT-67,QW-54,LI-67,JC-52,QW-91,LO-44,HJ-80,QW-92,JC-43,QW-56,QW-15,QW-94,QW-82,LO-59,QW-97,ZR-71,LO-91,QW-05,LO-21,QW-10,QW-76,HJ-30
2015-11-30 00:00:00+00:00,-0.200000003,18.00052325,66.39008602,51.65527473,0.0,74.27716008,131.674643,74.30075819,80.54763933,23.15103351,0.0,0.0,9.818512995,-0.000732455,0.0,77.68763396,-1.105461496,0.0,18.0021032,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.031591708,0.0,0.0,77.24606595,0.0,0.0,0.0
2015-12-01 00:00:00+00:00,-0.200000003,16.56845603,8.802650452,51.46584914,0.0,80.28438081,131.7367868,77.05687313,84.13244711,22.81764613,0.0,0.0,14.90644856,-0.000732455,0.0,82.72674148,1.948962656,0.0,17.5892019,0.0,0.0,0.0,0.0,-0.200000003,0.0,2500.255223,124.7824701,0.0,83.00771105,0.0,0.0,0.0
2015-12-02 00:00:00+00:00,-0.200000003,17.51572936,13.53785451,55.13057995,0.0,86.48746538,131.6692564,78.71414415,91.68938213,29.25136795,0.0,0.0,46.61748634,-0.000732455,0.0,86.71699413,6.567472527,0.0,17.69654762,0.0,0.0,0.0,0.0,-0.100000001,0.0,517.4240391,125.0771898,0.0,88.88328876,0.0,0.0,0.0
2015-12-03 00:00:00+00:00,-0.200000003,17.70233308,8.009769694,61.06081501,0.0,88.31703619,132.0659157,88.67908648,96.15831633,30.5086851,0.0,0.0,46.39922083,-0.000732455,0.0,97.12908083,5.232610281,0.0,17.60535569,0.0,0.0,0.0,0.0,-0.133333335,0.0,2088.575233,125.3315532,0.0,96.25542199,0.0,0.0,0.0
2015-12-04 00:00:00+00:00,-0.200000003,14.83905272,10.68376058,45.88194246,0.0,67.13103335,131.0205299,66.84999217,63.4640062,30.5130209,0.0,0.0,29.23673824,-0.000732455,0.0,66.16058998,3.782101499,0.0,16.88504947,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.653129818,124.995674,0.0,65.95761805,0.0,0.0,0.0
2015-12-05 00:00:00+00:00,-0.200000003,18.13250073,14.64547512,60.12797391,0.0,87.98240284,132.302972,78.95302782,89.41305466,31.08233929,0.0,0.0,23.18907385,-0.000732455,0.0,89.11509713,-1.110357454,0.0,17.75390813,0.0,0.0,0.0,0.0,-0.100000001,0.0,1816.109769,125.2583797,0.0,89.85334293,0.0,0.0,0.0
2015-12-06 00:00:00+00:00,-0.200000003,15.22960129,16.79375224,47.26481724,0.0,73.6319942,131.3883461,72.10314133,78.59521384,31.18361918,0.0,0.0,19.20280374,-0.000732455,0.0,77.29304596,5.712624003,0.0,16.78972336,0.0,0.0,0.0,0.0,-0.133333335,0.0,26347.57071,125.5947794,0.0,77.69836571,0.0,0.0,0.0
2015-12-07 00:00:00+00:00,-0.200000003,9.430555358,22.66177165,52.43995078,0.0,77.76456556,131.1886289,75.99817498,68.17937675,31.22201087,0.0,0.0,14.86772529,-0.000732455,0.0,80.58659218,5.855958643,0.0,16.45068919,0.0,0.0,0.0,0.0,-0.100000001,0.0,17845.00565,125.1955723,0.0,78.18465726,0.0,0.0,0.0
2015-12-08 00:00:00+00:00,-0.200000003,15.51318634,9.92672933,41.8888659,0.0,70.16190796,130.8708055,69.05879015,2.564111328,31.03741832,0.0,0.0,30.0749031,-0.000732455,0.0,72.19925368,-1.100553385,0.0,15.89023564,0.0,0.0,0.0,0.0,-0.100000001,0.0,1698.9405470000002,124.625254,0.0,69.59718926,0.0,0.0,0.0
2015-12-09 00:00:00+00:00,-0.200000003,9.72477083,47.15529037,50.4629429,0.0,72.95625408,130.3190191,75.82381465,2.644237518,31.10757073,0.0,0.0,27.63728462,-0.000732455,0.0,78.98186568,-1.101129277,0.0,15.76497443,0.0,0.0,0.0,0.0,-0.100000001,0.0,9.600428488,124.6293174,0.0,79.00976936,0.0,0.0,0.0
