HT_NA_NA_NA_DNA_VM_HO-AotMh,HT_NA_NA_NA_DNA_VM_HO-BjARE,HT_GB_SH_NA_DNA_VM_HO-zbqiU,HT_GB_SH_NA_DNA_VM_HO-93Oix,GN_GB_ND_SH_DNA_VM_HO-Cv7xc,GN_GB_ND_SH_DNA_VM_HO-Db5kr
5.671904746,3.759659873,7.409722302,5.627956893,4.573179273,2.164167786
7.848130137,4.410913057,7.751627931,4.638378254,4.338479809,1.517027696
8.315419861,4.45880478,6.951724184,8.413592093,3.664940986,1.462739825
8.215754002,5.27151392,8.841048007,8.248559701,4.066972067,1.558172226
8.165038185,5.863984386,8.951515024,6.65183659,4.606829564,2.045659569
7.742958826,5.930823543,8.167924611,6.263694268,4.183589577,1.7971141
7.794481353,7.233503909,8.139322034,6.527364865,3.672795017,1.420635223
7.855038204,7.758425189,7.775806452,5.295726496,3.352460101,1.502932549
7.767923104,8.247951816,6.426956522,6.434328358,3.825591034,1.549804211
7.985584937,8.657931032,8.54497992,6.433333333,3.498409816,1.508450826
8.309660975,7.470535764,8.351515152,6.772463768,3.88365573,1.534832001
35.81055495,5.408212737,7.607961783,6.179130435,3.634117214,1.531087875
39.06484782,3.596766479,7.176080692,8.450140845,4.100401537,1.599168777
9.856300711,3.50188482,8.915542522,12.25552408,3.899412362,1.551448822
4.772697333,5.15118108,10.12700297,5.423293173,4.145126591,1.790919113
5.044971069,6.507871501,7.53862069,5.04529148,3.685743905,1.498114904
6.136949825,7.66476563,7.144525547,5.246520147,3.543248465,1.519397736
5.643705182,11.84358977,7.364347826,6.943396226,3.922040674,1.523542404
6.326536963,9.176530577,6.655642023,6.841216216,4.151320909,9.099775605
11.31769913,6.616177794,6.534810127,5.9395189,4.352926865,12.00367807
7.085401443,6.669818187,6.025581395,5.475294118,4.378199024,12.6845182
7.267782794,10.57035295,5.946183206,5.31,5.985237706,11.02346704
7.351584672,10.75388192,5.86618705,4.642352941,8.938000544,8.120625231
8.377896837,7.818928595,6.665976331,5.513740458,12.37773711,14.56891705
8.539375028,10.829591,6.422,4.633333333,11.64429213,15.67396949
